Tanggal,Comment,standardized_text,Sentiment,Platform
2024-06-02,Baru juga tanggal 2 udeh Half Marathon aje lu mau ke mane? #Jalurrunners #WeRunJKT Road To Maybank Marathon.,baru juga tanggal 2 sudah half marathon saja kamu mau ke mana? road to maybank marathon.,netral,Twitter
2024-06-03,Latihan raiii @rainatika,latihan rai,netral,Instagram
2024-06-03,Any suggestion for ice bath in Jakarta? 🙏🙏🙏,ada saran untuk mandi es di jakarta? [memohon][memohon][memohon],netral,Instagram
2024-06-03,Petisi untuk jadwal di up pagi 🔥,petisi untuk jadwal diunggah pagi [api],netral,Instagram
2024-06-03,Panggilan kepada @joniangg 😌😌,panggilan kepada [senyum][senyum],netral,Instagram
2024-06-03,"I text you many times by email and by instagram to try to get one information, but no one answer. Is really no professional at all.","saya mengirim pesan berkali kali melalui email dan instagram untuk mencoba mendapatkan satu informasi, tetapi tidak ada yang menjawab. sangat tidak profesional.",negatif,Instagram
2024-06-03,"Untuk yang kemarin Minggu ikut serta latihan road to Maybank Marathon di Bandung,foto dokumentasi ada di story ya","untuk yang kemarin minggu ikut serta latihan road to maybank marathon di bandung, foto dokumentasi ada di story ya",netral,Instagram
2024-06-03,"di bandung mau lari sore wasalam sih, dari siang hujan mulu 😂","di bandung mau lari sore wassalam sih, dari siang hujan terus [tertawa]",netral,Instagram
2024-06-03,mau deh ikut marathon nya maybank,mau deh ikut maraton nya maybank,positif,Twitter
2024-06-03,Road to Maybank Marathon 2024. #roadtoMM2024,road to maybank marathon 2024.,netral,Twitter
2024-06-03,Thank you,terima kasih,positif,Instagram
2024-06-03,Keep going to post for what? If people ask and need help and no one answer!!,terus posting untuk apa? jika orang bertanya dan butuh bantuan tapi tidak ada yang menjawab!!,negatif,Instagram
2024-06-03,kaka min tolonglah jadwal latihan dikirim agak siang gitu biar kami prepare dan mencari motivasi sebelum rebahan pulang kantor kasian 🤧😹😹😹😹,kakak admin tolonglah jadwal latihan dikirim agak siang supaya kami bisa mempersiapkan diri dan mencari motivasi sebelum beristirahat sepulang kantor kasihan [tersedu][tertawa][tertawa][tertawa][tertawa],netral,Instagram
2024-06-03,Pace medium itu berapaa ya?,kecepatan sedang itu berapa ya?,netral,Instagram
2024-06-03,Jgn lupa program latihan minggu ini @dina.a_firdausi,jangan lupa program latihan minggu ini,netral,Instagram
2024-06-04,Wahh ada ice bath sekarang,wah ada mandi es sekarang,positif,Instagram
2024-06-04,@eiw_18 Ikutan Maybank Marathon gak mas? Siapa tau bisa ketemu pas di race,ikutan maybank marathon tidak mas? siapa tahu bisa bertemu saat di lomba,netral,Twitter
2024-06-04,Training Log 106 Sunday Long Run 24km 02/06/2024 Sunday Long Run bareng Kece Run &amp; Maybank Marathon Ikutan karena dibuka untuk umum rada maksain sih ikut wave pace 6 jadi malah kecer terus akhirnya berhenti padahal kurang 1km wkwk 250m lagi jadi longest run padahal,catatan latihan 106 lari jauh hari minggu 24 kilometer 02/06/2024 lari jauh hari minggu bersama kece run & maybank marathon ikut karena dibuka untuk umum agak memaksakan sih ikut kelompok kecepatan 6 jadi malah tertinggal terus akhirnya berhenti padahal kurang 1 kilometer 250 meter lagi jadi lari terjauh padahal,netral,Twitter
2024-06-04,WTB HM ato 10Km,mencari half marathon atau 10 kilometer,netral,Instagram
2024-06-05,Masih ada waktu buat dapetin slot Maybank Marathon! Buat lo yang mau do more langsung aja ikutan di Instagram Zinc ya! Sikaaattt!,masih ada waktu untuk mendapatkan slot maybank marathon! untuk kamu yang ingin melakukan lebih langsung saja ikuti di instagram zinc ya! serbu!,positif,Twitter
2024-06-07,"Guys wanna ask, which area is the nearest to bali united training center? Aku maunya book hotel tapi confused","teman ingin bertanya, area mana yang paling dekat dengan pusat latihan bali united? aku ingin memesan hotel tapi bingung",netral,Instagram
2024-06-07,Ga ada temen ini😢...,tidak ada teman ini [sedih].,negatif,Instagram
2024-06-07,@akhyar_darmawan 🔥🔥🔥,[api][api][api],netral,Instagram
