Tanggal,Comment,Sentiment,label,predict_sentiment_indoBERT,Platform,standardized_text,Topic
2024-06-02 00:00:00,Baru juga tanggal 2 udeh Half Marathon aje lu mau ke mane? #Jalurrunners #WeRunJKT Road To Maybank Marathon.,netral,1,netral,Twitter,tanggal half marathon road maybank marathon,Maybank Marathon di Bali
2024-06-03 00:00:00,Latihan raiii @rainatika,netral,1,netral,Instagram,latihan rai,Pujian dan Dukungan Lomba Lari
2024-06-03 00:00:00,Any suggestion for ice bath in Jakarta? 🙏🙏🙏,netral,1,netral,Instagram,saran mandi es jakarta,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-03 00:00:00,Petisi untuk jadwal di up pagi 🔥,netral,1,netral,Instagram,petisi jadwal diunggah pagi,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-03 00:00:00,Panggilan kepada @joniangg 😌😌,netral,1,netral,Instagram,panggilan,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-03 00:00:00,"I text you many times by email and by instagram to try to get one information, but no one answer. Is really no professional at all.",negatif,0,negatif,Instagram,mengirim pesan berkali kali email instagram mencoba informasi profesional,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-03 00:00:00,"Untuk yang kemarin Minggu ikut serta latihan road to Maybank Marathon di Bandung,foto dokumentasi ada di story ya",netral,1,netral,Instagram,kemarin minggu latihan road maybank marathon bandung foto dokumentasi story,Maybank Marathon di Bali
2024-06-03 00:00:00,"di bandung mau lari sore wasalam sih, dari siang hujan mulu 😂",netral,1,netral,Instagram,bandung lari sore wassalam sih siang hujan,Pujian dan Dukungan Lomba Lari
2024-06-03 00:00:00,mau deh ikut marathon nya maybank,positif,2,positif,Twitter,deh maraton nya maybank,Maybank Marathon di Bali
2024-06-03 00:00:00,Road to Maybank Marathon 2024. #roadtoMM2024,netral,1,netral,Twitter,road maybank marathon,Maybank Marathon di Bali
2024-06-03 00:00:00,Thank you,positif,2,positif,Instagram,terima kasih,Pujian dan Dukungan Lomba Lari
2024-06-03 00:00:00,Keep going to post for what? If people ask and need help and no one answer!!,negatif,0,netral,Instagram,posting orang butuh bantuan,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-03 00:00:00,kaka min tolonglah jadwal latihan dikirim agak siang gitu biar kami prepare dan mencari motivasi sebelum rebahan pulang kantor kasian 🤧😹😹😹😹,netral,1,netral,Instagram,kakak admin tolonglah jadwal latihan dikirim siang mencari motivasi beristirahat sepulang kantor kasihan,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-03 00:00:00,Pace medium itu berapaa ya?,netral,1,netral,Instagram,kecepatan,Pujian dan Dukungan Lomba Lari
2024-06-03 00:00:00,Jgn lupa program latihan minggu ini @dina.a_firdausi,netral,1,netral,Instagram,lupa program latihan minggu,Pujian dan Dukungan Lomba Lari
2024-06-04 00:00:00,Wahh ada ice bath sekarang,positif,2,positif,Instagram,mandi es,Pujian dan Dukungan Lomba Lari
2024-06-04 00:00:00,@eiw_18 Ikutan Maybank Marathon gak mas? Siapa tau bisa ketemu pas di race,netral,1,netral,Twitter,ikutan maybank marathon mas bertemu lomba,Maybank Marathon di Bali
2024-06-04 00:00:00,Training Log 106 Sunday Long Run 24km 02/06/2024 Sunday Long Run bareng Kece Run &amp; Maybank Marathon Ikutan karena dibuka untuk umum rada maksain sih ikut wave pace 6 jadi malah kecer terus akhirnya berhenti padahal kurang 1km wkwk 250m lagi jadi longest run padahal,netral,1,netral,Twitter,catatan latihan lari minggu 24 kilometer lari minggu kece run maybank marathon dibuka memaksakan sih kelompok kecepatan tertinggal berhenti 1 kilometer meter lari terjauh,Maybank Marathon di Bali
2024-06-04 00:00:00,WTB HM ato 10Km,netral,1,netral,Instagram,mencari half marathon 10 kilometer,Maybank Marathon di Bali
2024-06-05 00:00:00,Masih ada waktu buat dapetin slot Maybank Marathon! Buat lo yang mau do more langsung aja ikutan di Instagram Zinc ya! Sikaaattt!,positif,2,positif,Twitter,slot maybank marathon langsung ikuti instagram zinc serbu,Pujian dan Dukungan Lomba Lari
2024-06-07 00:00:00,"Guys wanna ask, which area is the nearest to bali united training center? Aku maunya book hotel tapi confused",netral,1,netral,Instagram,teman area pusat latihan bali united memesan hotel bingung,Maybank Marathon di Bali
2024-06-07 00:00:00,Ga ada temen ini😢...,negatif,0,negatif,Instagram,teman,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-08 00:00:00,Siap menaklukkan marathon impianmu? Yuk ikuti 3 langkah penting ini! Road to Maybank Marathon udah dimulai lho! Jadwal latihan gear lari dan nutrisi yang tepat jadi kunci suksesmu. Manfaatin juga cicilan 0% dengan Maybank Kartu Kredit buat bawa pulang smartwatch idamanmu di,positif,2,positif,Twitter,menaklukkan maraton impianmu yuk ikuti langkah road maybank marathon loh jadwal latihan perlengkapan lari nutrisi kunci suksesmu manfaatkan cicilan kartu kredit maybank membawa pulang jam tangan pintar idamanmu,Maybank Marathon di Bali
2024-06-08 00:00:00,Sudah daftar Bandung tapi gak ada konfirmasi,negatif,0,negatif,Instagram,daftar bandung konfirmasi,Komunikasi dan Koordinasi Acara Perjalanan
